01KVH1Z6HE5W25JKTHC0ES7T6T	CDP-ES-29-KMFZNPXC	acevas	DISMOAUTO	29	\N	\N	2026-06-19 23:03:02.446582+00
01KVH1Z6HN0C87XPNDV5MT45CS	CDP-ES-23-QSVH6S7Z	acevas	ESPAWAGEN	23	\N	\N	2026-06-19 23:03:02.45375+00
01KVH1Z6HXBP49F5K9X36G4WE3	CDP-ES-28-A0PBXQB9	acevas	F. TOME	28	\N	\N	2026-06-19 23:03:02.461632+00
01KVH1Z6J5XG0J1KT6CYMFSV6X	CDP-ES-32-V62NVNRW	acevas	GADASA	32	\N	\N	2026-06-19 23:03:02.469632+00
01KVH1Z6JDBCXEDWCB440R9DHG	CDP-ES-18-Y9GCXT41	acevas	GILAUTO	18	\N	\N	2026-06-19 23:03:02.478239+00
01KVH1Z6JNBHQWXDCEAZ0QX2JT	CDP-ES-37-HPEY55J7	acevas	HELMÁNTICA	37	\N	\N	2026-06-19 23:03:02.485856+00
01KVH1Z6JXWG8E4NR7RVS8W21K	CDP-ES-39-J7S6QE2J	acevas	HERCOS PARAYAS	39	\N	\N	2026-06-19 23:03:02.493724+00
01KVH1Z6K4J62KRB6A6838A750	CDP-ES-30-CJ3SNGZ8	acevas	HUERTAS MOTOR CARTAGENA	30	\N	\N	2026-06-19 23:03:02.501111+00
01KVH1Z6KKQNTZ211Z34BR0JYT	CDP-ES-31-TVRMTATM	acevas	IRUMOVIL	31	\N	\N	2026-06-19 23:03:02.515356+00
01KVH1Z6KVAB5SXFKYZ8V7TZSQ	CDP-ES-31-SRV6DJGJ	acevas	IRUÑAMOVIL	31	\N	\N	2026-06-19 23:03:02.523791+00
01KVH1Z6M3BQY2CC5YW0Z8X593	CDP-ES-28-KCNH4G01	acevas	J.S. SEALCO AUTOMOCION	28	\N	\N	2026-06-19 23:03:02.531979+00
01KVH1Z6MBK5JRY7808PYBE5FT	CDP-ES-28-Z0R97APF	acevas	JARMAUTO	28	\N	\N	2026-06-19 23:03:02.539307+00
01KVH1Z6MH3HJV3HXSN8JCEDVM	CDP-ES-03-90ZAKW4W	acevas	JORRO IMPORT	03	\N	\N	2026-06-19 23:03:02.546226+00
01KVH1Z6MSZG83MGDBD6GFHXRJ	CDP-ES-46-KQ0GZ9KP	acevas	JR VALLE MOTOR	46	\N	\N	2026-06-19 23:03:02.55356+00
01KVH1Z6N1VK2H7M47HBMHBYY6	CDP-ES-08-3FBWK8BC	acevas	LAMPIS AUTOMOCIÓ	08	\N	\N	2026-06-19 23:03:02.562561+00
01KVH1Z6N9CTAVEDH8C6GEFWRR	CDP-ES-28-8MTXKFDX	acevas	M. CONDE	28	\N	\N	2026-06-19 23:03:02.569468+00
01KVH1Z6NGE9T7FJ7A1XZ7NMQT	CDP-ES-28-QC11584X	acevas	M. CONDE PREMIUM	28	\N	\N	2026-06-19 23:03:02.576476+00
01KVH1Z6NPYDCD3226E8ZP4X0H	CDP-ES-20-BHMS7NXX	acevas	MENABI	20	\N	\N	2026-06-19 23:03:02.583015+00
01KVH1Z6NXWG68BWHTSMZJH3XK	CDP-ES-20-B1TWWC1J	acevas	MENAI	20	\N	\N	2026-06-19 23:03:02.590167+00
01KVH1Z6QWGDGFRXXWS2ESHTZ9	CDP-ES-02-06XDGFDK	acevas	MOVILMAOR	02	\N	\N	2026-06-19 23:03:02.657586+00
01KVH1Z6P40G3ZP9PPVTX43QJW	CDP-ES-43-MYNM06MF	acevas	MERKAMOTOR-TORTOSA	43	\N	\N	2026-06-19 23:03:02.596957+00
01KVH1Z6PCQSXS0ZY3WWFN090A	CDP-ES-08-RVZ8X4DW	acevas	MOGADEALER	08	\N	\N	2026-06-19 23:03:02.604921+00
01KVH1Z6PN59VXYYTEH13XRS70	CDP-ES-08-CPM8MH5V	acevas	MOGAUTO	08	\N	\N	2026-06-19 23:03:02.613803+00
01KVH1Z6PXEAAFET9KCZ3XC0Q3	CDP-ES-28-Q92713SV	acevas	MOTOR PACIFICO	28	\N	\N	2026-06-19 23:03:02.621849+00
01KVH1Z6Q51FEKSPAHMRS9VAY0	CDP-ES-28-E3DVCHBA	acevas	MOTOR TOME	28	\N	\N	2026-06-19 23:03:02.629691+00
01KVH1Z6QBE20AB2Q3ZGRTRYF8	CDP-ES-36-XKEEZ1H6	acevas	MOURENTE MOTOR AUTOMOCION	36	\N	\N	2026-06-19 23:03:02.636252+00
01KVH1Z6QK5E93RAYKT61MJPM8	CDP-ES-08-RF74PK1K	acevas	MOVENTO SARSA MOTOR	08	\N	\N	2026-06-19 23:03:02.643743+00
01KVH1Z6QT4GCJY37BKVKD9EHE	CDP-ES-08-ZYPB2T2M	acevas	MOVENTO SARSA VALLÉS	08	\N	\N	2026-06-19 23:03:02.650615+00
01KVH1Z6R98GDRS4E9SYFN2M47	CDP-ES-15-6YHGZ2D2	acevas	MOVILRIA	15	\N	\N	2026-06-19 23:03:02.666136+00
01KVH1Z6RHXN898Y5DENEES3N5	CDP-ES-19-2CSKBBS7	acevas	MOVILSAN VEHICULOS	19	\N	\N	2026-06-19 23:03:02.673577+00
01KVH1Z6RR53SCPR76MH98BJFN	CDP-ES-40-7JF8HP3J	acevas	NUÑEZ AUTOMOCION	40	\N	\N	2026-06-19 23:03:02.680977+00
01KVH1Z6S0KM9FAXGH3P6GR76Q	CDP-ES-23-YQXFX4BF	acevas	OLIVAUTO	23	\N	\N	2026-06-19 23:03:02.688343+00
01KVH1Z6S65BPV6THZ3XAPSDHK	CDP-ES-39-08RNM914	acevas	PARTE AUTOMOVILES	39	\N	\N	2026-06-19 23:03:02.695265+00
01KVH1Z6SEAJN0S0XAQ0KFGAEV	CDP-ES-12-JAW7CMJ6	acevas	QUADIS MARZA	12	\N	\N	2026-06-19 23:03:02.702607+00
01KVH1Z6SNJGKP24WDPQNQZ2GF	CDP-ES-08-02BMWWV1	acevas	QUADIS MOTORSOL	08	\N	\N	2026-06-19 23:03:02.70951+00
01KVH1Z6SWS5D27ZHZSBQ879JE	CDP-ES-08-Y07T3FDR	acevas	QUADIS MOTORSOL IMPORT	08	\N	\N	2026-06-19 23:03:02.716847+00
01KVH1Z6T3PV4Y3BWWN2DF5P5N	CDP-ES-26-5N1J1FW8	acevas	RIOJA MOTOR	26	\N	\N	2026-06-19 23:03:02.723461+00
01KVH1Z6TBK7SS6Q9D2EBQHBWP	CDP-ES-29-KGSHMVBK	acevas	SAFAMOTOR	29	\N	\N	2026-06-19 23:03:02.731556+00
01KVH1Z6TJ9DRT4C1RC55Y3Q3K	CDP-ES-31-TE2TE7C3	acevas	SAGAMOVIL	31	\N	\N	2026-06-19 23:03:02.738691+00
01KVH1Z6TSQWCDVDCAZAHQYPS5	CDP-ES-03-D8C1PRMA	acevas	SALA HERMANOS	03	\N	\N	2026-06-19 23:03:02.745816+00
01KVH1Z6V06ZDQCQER30RT1KHM	CDP-ES-10-GJAMY6RJ	acevas	SANTANO AUTOMOCION	10	\N	\N	2026-06-19 23:03:02.752721+00
01KVH1Z6V76QVMCYHHRGHYD0BG	CDP-ES-04-GQH68BTP	acevas	SAVEAUTO	04	\N	\N	2026-06-19 23:03:02.760314+00
01KVH1Z6WP0YVFS9Q0ASXMAW0X	CDP-ES-08-SB0387F6	acevas	SUPERWAGEN	08	\N	\N	2026-06-19 23:03:02.807506+00
01KVH1Z6VFQ6JYGQZ7P0DCPKY0	CDP-ES-28-60C27F0X	acevas	SEALCO MOTOR	28	\N	\N	2026-06-19 23:03:02.768157+00
